State,Gender,Year,Deaths
Alabama,Female,1999,156
New Hampshire,Male,1999,64
Arkansas,Female,1999,62
Arkansas,Male,1999,327
District of Columbia,Male,1999,147
District of Columbia,Female,1999,12
Oklahoma,Male,1999,420
New Hampshire,Female,1999,0
Oklahoma,Female,1999,87
Indiana,Male,1999,582
Maryland,Male,1999,584
Maryland,Female,1999,60
Texas,Female,1999,338
Texas,Male,1999,1781
New Jersey,Female,1999,47
Indiana,Female,1999,94
West Virginia,Female,1999,36
Massachusetts,Female,1999,24
Massachusetts,Male,1999,169
Nebraska,Male,1999,125
Florida,Male,1999,1410
Florida,Female,1999,305
Wisconsin,Male,1999,401
Wisconsin,Female,1999,48
Arizona,Female,1999,132
Arizona,Male,1999,674
Oregon,Male,1999,330
Oregon,Female,1999,55
Illinois,Female,1999,126
Illinois,Male,1999,1081
Nevada,Female,1999,55
Nevada,Male,1999,314
Tennessee,Female,1999,133
Tennessee,Male,1999,718
New Jersey,Male,1999,314
Nebraska,Female,1999,21
Washington,Male,1999,493
Ohio,Male,1999,805
Louisiana,Male,1999,650
Louisiana,Female,1999,126
Colorado,Female,1999,74
Colorado,Male,1999,381
New York,Female,1999,108
New York,Male,1999,903
Kansas,Male,1999,231
Connecticut,Male,1999,184
North Carolina,Male,1999,879
North Carolina,Female,1999,184
Kentucky,Female,1999,86
Kentucky,Male,1999,440
Vermont,Female,1999,10
Vermont,Male,1999,50
Connecticut,Female,1999,13
Kansas,Female,1999,40
North Dakota,Female,1999,10
North Dakota,Male,1999,39
Ohio,Female,1999,130
Iowa,Female,1999,27
Iowa,Male,1999,180
California,Female,1999,408
California,Male,1999,2596
Maine,Male,1999,94
Maine,Female,1999,18
Delaware,Male,1999,56
Delaware,Female,1999,0
New Mexico,Female,1999,38
New Mexico,Male,1999,246
Utah,Female,1999,21
Utah,Male,1999,166
Virginia,Male,1999,691
Virginia,Female,1999,128
Washington,Female,1999,84
Michigan,Female,1999,140
West Virginia,Male,1999,217
Idaho,Female,1999,23
Missouri,Female,1999,96
Georgia,Male,1999,917
South Dakota,Male,1999,62
Hawaii,Male,1999,40
Georgia,Female,1999,189
Pennsylvania,Female,1999,158
Missouri,Male,1999,617
Idaho,Male,1999,130
Montana,Male,1999,109
Hawaii,Female,1999,0
Rhode Island,Female,1999,0
Montana,Female,1999,15
Pennsylvania,Male,1999,1033
Rhode Island,Male,1999,48
Alaska,Male,1999,71
Alaska,Female,1999,16
South Dakota,Female,1999,10
Minnesota,Male,1999,277
Michigan,Male,1999,950
South Carolina,Male,1999,437
South Carolina,Female,1999,109
Wyoming,Female,1999,11
Minnesota,Female,1999,23
Wyoming,Male,1999,62
Alabama,Male,1999,635
Mississippi,Female,1999,82
Mississippi,Male,1999,432
Delaware,Female,2000,0
Maine,Male,2000,96
Maine,Female,2000,14
Georgia,Female,2000,193
Michigan,Female,2000,163
California,Male,2000,2655
California,Female,2000,395
Georgia,Male,2000,908
Iowa,Male,2000,173
Iowa,Female,2000,19
South Carolina,Female,2000,85
South Carolina,Male,2000,410
Ohio,Female,2000,125
Ohio,Male,2000,765
Washington,Female,2000,78
Washington,Male,2000,444
New Jersey,Male,2000,310
New Jersey,Female,2000,32
Delaware,Male,2000,43
Hawaii,Male,2000,45
Virginia,Male,2000,652
New Mexico,Male,2000,248
Alabama,Female,2000,137
Kentucky,Male,2000,460
Kentucky,Female,2000,85
Alabama,Male,2000,629
North Carolina,Female,2000,192
North Carolina,Male,2000,926
Rhode Island,Male,2000,51
Connecticut,Female,2000,20
Connecticut,Male,2000,161
New York,Male,2000,980
New York,Female,2000,102
Rhode Island,Female,2000,0
Colorado,Male,2000,369
Colorado,Female,2000,76
Kansas,Male,2000,258
Kansas,Female,2000,41
Mississippi,Male,2000,394
Louisiana,Female,2000,110
Louisiana,Male,2000,680
Mississippi,Female,2000,80
Missouri,Female,2000,114
Virginia,Female,2000,139
Wyoming,Male,2000,49
Utah,Male,2000,166
Utah,Female,2000,27
Missouri,Male,2000,630
Hawaii,Female,2000,0
North Dakota,Female,2000,0
North Dakota,Male,2000,41
New Mexico,Female,2000,38
Texas,Male,2000,1803
Vermont,Female,2000,0
Wyoming,Female,2000,12
Nebraska,Female,2000,28
South Dakota,Male,2000,54
Nebraska,Male,2000,138
Idaho,Male,2000,107
Idaho,Female,2000,18
West Virginia,Female,2000,36
West Virginia,Male,2000,206
Oklahoma,Female,2000,82
Arizona,Female,2000,112
Oklahoma,Male,2000,365
Texas,Female,2000,363
New Hampshire,Female,2000,10
Tennessee,Male,2000,764
Tennessee,Female,2000,134
Nevada,Male,2000,297
Nevada,Female,2000,43
Massachusetts,Female,2000,24
Massachusetts,Male,2000,151
Montana,Female,2000,11
Montana,Male,2000,121
Oregon,Male,2000,308
Illinois,Male,2000,1021
Illinois,Female,2000,110
South Dakota,Female,2000,0
Arizona,Male,2000,678
New Hampshire,Male,2000,73
Vermont,Male,2000,49
Oregon,Female,2000,66
Indiana,Male,2000,584
Indiana,Female,2000,88
Maryland,Female,2000,67
Pennsylvania,Female,2000,144
Wisconsin,Male,2000,389
Minnesota,Male,2000,275
Minnesota,Female,2000,42
Maryland,Male,2000,539
Alaska,Male,2000,100
Alaska,Female,2000,16
District of Columbia,Female,2000,13
District of Columbia,Male,2000,135
Florida,Female,2000,269
Arkansas,Male,2000,346
Arkansas,Female,2000,68
Florida,Male,2000,1411
Michigan,Male,2000,904
Pennsylvania,Male,2000,1106
Wisconsin,Female,2000,53
Oregon,Female,2001,58
Florida,Female,2001,286
Florida,Male,2001,1525
North Carolina,Male,2001,947
Oregon,Male,2001,291
Idaho,Male,2001,140
Kansas,Male,2001,222
Connecticut,Male,2001,179
Idaho,Female,2001,33
Connecticut,Female,2001,14
South Dakota,Male,2001,47
South Dakota,Female,2001,0
North Carolina,Female,2001,148
Rhode Island,Female,2001,0
Rhode Island,Male,2001,43
Kansas,Female,2001,45
Tennessee,Female,2001,129
Illinois,Male,2001,1146
Pennsylvania,Female,2001,155
Indiana,Male,2001,604
Indiana,Female,2001,130
Texas,Female,2001,370
Ohio,Male,2001,900
Ohio,Female,2001,131
Pennsylvania,Male,2001,1011
Hawaii,Male,2001,37
South Carolina,Male,2001,447
South Carolina,Female,2001,116
Delaware,Male,2001,58
Delaware,Female,2001,17
Illinois,Female,2001,137
District of Columbia,Female,2001,0
Georgia,Female,2001,188
Georgia,Male,2001,932
Iowa,Female,2001,14
Iowa,Male,2001,175
Hawaii,Female,2001,0
North Dakota,Male,2001,42
North Dakota,Female,2001,0
Oklahoma,Female,2001,67
Oklahoma,Male,2001,407
Tennessee,Male,2001,719
Utah,Female,2001,35
Utah,Male,2001,191
District of Columbia,Male,2001,161
Texas,Male,2001,1962
New York,Female,2001,94
Vermont,Male,2001,47
Arkansas,Male,2001,346
Maryland,Male,2001,543
Maryland,Female,2001,56
New Hampshire,Female,2001,12
New Hampshire,Male,2001,80
Minnesota,Female,2001,41
Minnesota,Male,2001,281
Washington,Male,2001,416
Washington,Female,2001,88
New Jersey,Female,2001,35
New Jersey,Male,2001,333
Maine,Male,2001,81
Maine,Female,2001,17
California,Female,2001,390
California,Male,2001,2764
Missouri,Male,2001,663
New Mexico,Female,2001,46
Arkansas,Female,2001,65
New Mexico,Male,2001,219
Vermont,Female,2001,0
West Virginia,Male,2001,211
Montana,Female,2001,23
Alaska,Male,2001,81
Alaska,Female,2001,14
Wyoming,Female,2001,0
Wyoming,Male,2001,61
Michigan,Male,2001,948
Michigan,Female,2001,123
Wisconsin,Male,2001,432
Wisconsin,Female,2001,46
Nebraska,Female,2001,14
Nebraska,Male,2001,124
Arizona,Female,2001,120
Arizona,Male,2001,712
Massachusetts,Male,2001,185
Massachusetts,Female,2001,0
Nevada,Female,2001,55
Nevada,Male,2001,280
West Virginia,Female,2001,37
Missouri,Female,2001,89
Montana,Male,2001,137
Mississippi,Male,2001,421
Alabama,Male,2001,611
Colorado,Male,2001,427
Mississippi,Female,2001,80
Virginia,Male,2001,635
Louisiana,Female,2001,123
Louisiana,Male,2001,660
Virginia,Female,2001,128
Colorado,Female,2001,77
Alabama,Female,2001,130
Kentucky,Male,2001,451
New York,Male,2001,970
Kentucky,Female,2001,73
Massachusetts,Female,2002,11
Massachusetts,Male,2002,190
Pennsylvania,Male,2002,1050
Pennsylvania,Female,2002,167
New York,Female,2002,92
Alabama,Female,2002,112
Nevada,Male,2002,311
Nevada,Female,2002,54
Nebraska,Male,2002,121
Illinois,Female,2002,119
Illinois,Male,2002,1115
Hawaii,Male,2002,30
Hawaii,Female,2002,0
Oklahoma,Male,2002,369
Oklahoma,Female,2002,84
West Virginia,Male,2002,241
West Virginia,Female,2002,33
Colorado,Female,2002,78
Connecticut,Female,2002,11
District of Columbia,Male,2002,173
District of Columbia,Female,2002,22
Colorado,Male,2002,431
Nebraska,Female,2002,18
Virginia,Male,2002,676
Arizona,Female,2002,133
Montana,Male,2002,114
Vermont,Female,2002,0
Alaska,Male,2002,91
Alaska,Female,2002,34
Vermont,Male,2002,55
Michigan,Male,2002,953
Michigan,Female,2002,138
Idaho,Female,2002,16
Idaho,Male,2002,146
Kentucky,Female,2002,87
Florida,Male,2002,1573
Arizona,Male,2002,823
Florida,Female,2002,304
Rhode Island,Male,2002,50
Wisconsin,Male,2002,387
Wisconsin,Female,2002,52
Rhode Island,Female,2002,0
North Carolina,Female,2002,179
South Dakota,Female,2002,0
