"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	156
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	635
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	137
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	629
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	130
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	611
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	112
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	613
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	132
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	634
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	117
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	566
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	123
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	614
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	123
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	659
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	143
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	668
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	138
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	682
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	151
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	680
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	127
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	654
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	142
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	644
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	132
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	700
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	139
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	716
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	139
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	674
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	172
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	783
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	180
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	857
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	185
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	937
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	175
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	889
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	183
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	889
	"Alabama"	"01"	"2020 "	"2020"	"Female"	"F"	177
	"Alabama"	"01"	"2020 "	"2020"	"Male"	"M"	959
	"Alaska"	"02"	"1999"	"1999"	"Female"	"F"	16
	"Alaska"	"02"	"1999"	"1999"	"Male"	"M"	71
	"Alaska"	"02"	"2000"	"2000"	"Female"	"F"	16
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	100
	"Alaska"	"02"	"2001"	"2001"	"Female"	"F"	14
	"Alaska"	"02"	"2001"	"2001"	"Male"	"M"	81
	"Alaska"	"02"	"2002"	"2002"	"Female"	"F"	34
	"Alaska"	"02"	"2002"	"2002"	"Male"	"M"	91
	"Alaska"	"02"	"2003"	"2003"	"Female"	"F"	18
	"Alaska"	"02"	"2003"	"2003"	"Male"	"M"	102
	"Alaska"	"02"	"2004"	"2004"	"Female"	"F"	15
	"Alaska"	"02"	"2004"	"2004"	"Male"	"M"	101
	"Alaska"	"02"	"2005"	"2005"	"Female"	"F"	18
	"Alaska"	"02"	"2005"	"2005"	"Male"	"M"	99
	"Alaska"	"02"	"2006"	"2006"	"Female"	"F"	14
	"Alaska"	"02"	"2006"	"2006"	"Male"	"M"	98
	"Alaska"	"02"	"2007"	"2007"	"Female"	"F"	11
	"Alaska"	"02"	"2007"	"2007"	"Male"	"M"	109
	"Alaska"	"02"	"2008"	"2008"	"Female"	"F"	17
	"Alaska"	"02"	"2008"	"2008"	"Male"	"M"	122
	"Alaska"	"02"	"2009"	"2009"	"Female"	"F"	16
	"Alaska"	"02"	"2009"	"2009"	"Male"	"M"	86
	"Alaska"	"02"	"2010"	"2010"	"Female"	"F"	27
	"Alaska"	"02"	"2010"	"2010"	"Male"	"M"	116
	"Alaska"	"02"	"2011"	"2011"	"Female"	"F"	24
	"Alaska"	"02"	"2011"	"2011"	"Male"	"M"	101
	"Alaska"	"02"	"2012"	"2012"	"Female"	"F"	18
	"Alaska"	"02"	"2012"	"2012"	"Male"	"M"	111
	"Alaska"	"02"	"2013"	"2013"	"Female"	"F"	25
	"Alaska"	"02"	"2013"	"2013"	"Male"	"M"	119
	"Alaska"	"02"	"2014"	"2014"	"Female"	"F"	22
	"Alaska"	"02"	"2014"	"2014"	"Male"	"M"	124
	"Alaska"	"02"	"2015"	"2015"	"Female"	"F"	37
	"Alaska"	"02"	"2015"	"2015"	"Male"	"M"	138
	"Alaska"	"02"	"2016"	"2016"	"Female"	"F"	35
	"Alaska"	"02"	"2016"	"2016"	"Male"	"M"	136
	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	29
	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	146
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	28
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	123
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	31
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	145
	"Alaska"	"02"	"2020 "	"2020"	"Female"	"F"	30
	"Alaska"	"02"	"2020 "	"2020"	"Male"	"M"	140
	"Arizona"	"04"	"1999"	"1999"	"Female"	"F"	132
	"Arizona"	"04"	"1999"	"1999"	"Male"	"M"	674
	"Arizona"	"04"	"2000"	"2000"	"Female"	"F"	112
	"Arizona"	"04"	"2000"	"2000"	"Male"	"M"	678
	"Arizona"	"04"	"2001"	"2001"	"Female"	"F"	120
	"Arizona"	"04"	"2001"	"2001"	"Male"	"M"	712
	"Arizona"	"04"	"2002"	"2002"	"Female"	"F"	133
	"Arizona"	"04"	"2002"	"2002"	"Male"	"M"	823
	"Arizona"	"04"	"2003"	"2003"	"Female"	"F"	124
	"Arizona"	"04"	"2003"	"2003"	"Male"	"M"	717
	"Arizona"	"04"	"2004"	"2004"	"Female"	"F"	110
	"Arizona"	"04"	"2004"	"2004"	"Male"	"M"	770
	"Arizona"	"04"	"2005"	"2005"	"Female"	"F"	114
	"Arizona"	"04"	"2005"	"2005"	"Male"	"M"	816
	"Arizona"	"04"	"2006"	"2006"	"Female"	"F"	139
	"Arizona"	"04"	"2006"	"2006"	"Male"	"M"	835
	"Arizona"	"04"	"2007"	"2007"	"Female"	"F"	113
	"Arizona"	"04"	"2007"	"2007"	"Male"	"M"	825
	"Arizona"	"04"	"2008"	"2008"	"Female"	"F"	151
