State,Gender,Race,Year,Population
Alabama,Female,American Indian or Alaska Native,2010.0,16096.0
Colorado,Female,Black or African American,2010.0,102504.0
Missouri,Female,More than one race,2010.0,57312.0
Missouri,Female,White,2010.0,2561135.0
Missouri,Female,Native Hawaiian or Other Pacific Islander,2010.0,3615.0
Missouri,Female,Black or African American,2010.0,368161.0
Missouri,Female,Asian,2010.0,53466.0
Colorado,Female,Native Hawaiian or Other Pacific Islander,2010.0,4195.0
Missouri,Female,American Indian or Alaska Native,2010.0,15114.0
Mississippi,Male,More than one race,2010.0,14702.0
Missouri,Male,American Indian or Alaska Native,2010.0,15621.0
Mississippi,Male,White,2010.0,885537.0
Mississippi,Male,Native Hawaiian or Other Pacific Islander,2010.0,933.0
Colorado,Female,White,2010.0,2225593.0
Mississippi,Male,Black or African American,2010.0,520861.0
Mississippi,Male,Asian,2010.0,12642.0
Mississippi,Male,American Indian or Alaska Native,2010.0,8534.0
Mississippi,Female,More than one race,2010.0,15346.0
Colorado,Female,More than one race,2010.0,67572.0
Mississippi,Female,White,2010.0,904711.0
Mississippi,Female,Native Hawaiian or Other Pacific Islander,2010.0,761.0
West Virginia,Male,American Indian or Alaska Native,2010.0,2154.0
Missouri,Male,Asian,2010.0,47718.0
Missouri,Male,Black or African American,2010.0,333034.0
West Virginia,Female,More than one race,2010.0,12890.0
Montana,Male,More than one race,2010.0,11630.0
Montana,Male,White,2010.0,448325.0
Wyoming,Male,American Indian or Alaska Native,2010.0,7320.0
California,Male,White,2010.0,13871272.0
Montana,Male,Native Hawaiian or Other Pacific Islander,2010.0,404.0
Montana,Male,Black or African American,2010.0,2735.0
Montana,Male,Asian,2010.0,2588.0
West Virginia,Female,White,2010.0,888703.0
Montana,Male,American Indian or Alaska Native,2010.0,31552.0
California,Male,More than one race,2010.0,639705.0
Montana,Female,More than one race,2010.0,11548.0
Montana,Female,White,2010.0,443926.0
Montana,Female,Native Hawaiian or Other Pacific Islander,2010.0,333.0
Montana,Female,Black or African American,2010.0,1517.0
Colorado,Female,American Indian or Alaska Native,2010.0,38398.0
Montana,Female,Asian,2010.0,3956.0
Montana,Female,American Indian or Alaska Native,2010.0,32183.0
Missouri,Male,More than one race,2010.0,55848.0
Missouri,Male,White,2010.0,2481319.0
Missouri,Male,Native Hawaiian or Other Pacific Islander,2010.0,3631.0
Colorado,Female,Asian,2010.0,79571.0
Mississippi,Female,Black or African American,2010.0,584150.0
Nebraska,Female,American Indian or Alaska Native,2010.0,11791.0
Mississippi,Female,Asian,2010.0,14067.0
Mississippi,Female,American Indian or Alaska Native,2010.0,8304.0
Michigan,Female,More than one race,2010.0,104537.0
Colorado,Male,More than one race,2010.0,65962.0
Michigan,Female,White,2010.0,4022849.0
West Virginia,Male,Native Hawaiian or Other Pacific Islander,2010.0,244.0
Michigan,Female,Native Hawaiian or Other Pacific Islander,2010.0,1738.0
Michigan,Female,Black or African American,2010.0,742799.0
Michigan,Female,Asian,2010.0,126191.0
Connecticut,Female,American Indian or Alaska Native,2010.0,8299.0
Michigan,Female,American Indian or Alaska Native,2010.0,34220.0
Michigan,Male,American Indian or Alaska Native,2010.0,34307.0
Massachusetts,Male,More than one race,2010.0,59885.0
Massachusetts,Male,Native Hawaiian or Other Pacific Islander,2010.0,2930.0
Connecticut,Female,Asian,2010.0,72954.0
Massachusetts,Male,Black or African American,2010.0,244295.0
Massachusetts,Male,Asian,2010.0,174061.0
Massachusetts,Male,American Indian or Alaska Native,2010.0,15260.0
West Virginia,Male,White,2010.0,858662.0
Massachusetts,Female,More than one race,2010.0,64558.0
Connecticut,Female,Black or African American,2010.0,206010.0
Massachusetts,Female,White,2010.0,2854594.0
Massachusetts,Male,White,2010.0,2679703.0
Michigan,Male,Asian,2010.0,118484.0
Michigan,Male,Black or African American,2010.0,671956.0
Colorado,Male,White,2010.0,2238772.0
West Virginia,Male,Asian,2010.0,5982.0
Minnesota,Male,More than one race,2010.0,55346.0
Minnesota,Male,White,2010.0,2293985.0
Minnesota,Male,Native Hawaiian or Other Pacific Islander,2010.0,1517.0
Colorado,Male,Asian,2010.0,66774.0
Minnesota,Male,Black or African American,2010.0,144021.0
Minnesota,Male,Asian,2010.0,106749.0
Minnesota,Male,American Indian or Alaska Native,2010.0,33967.0
Minnesota,Female,More than one race,2010.0,56926.0
Wyoming,Female,More than one race,2010.0,4916.0
Colorado,Male,Black or African American,2010.0,113617.0
Minnesota,Female,White,2010.0,2331368.0
Minnesota,Female,Native Hawaiian or Other Pacific Islander,2010.0,1471.0
Minnesota,Female,Black or African American,2010.0,138770.0
West Virginia,Male,Black or African American,2010.0,34462.0
Minnesota,Female,Asian,2010.0,112920.0
Colorado,Male,Native Hawaiian or Other Pacific Islander,2010.0,4308.0
Minnesota,Female,American Indian or Alaska Native,2010.0,33788.0
Michigan,Male,More than one race,2010.0,99617.0
Michigan,Male,White,2010.0,3919089.0
Michigan,Male,Native Hawaiian or Other Pacific Islander,2010.0,1723.0
Colorado,Male,American Indian or Alaska Native,2010.0,40083.0
Massachusetts,Female,Native Hawaiian or Other Pacific Islander,2010.0,3056.0
Nebraska,Female,Asian,2010.0,17542.0
Nebraska,Female,Black or African American,2010.0,42412.0
New Mexico,Female,More than one race,2010.0,23386.0
New Mexico,Female,White,2010.0,871963.0
New Mexico,Female,Native Hawaiian or Other Pacific Islander,2010.0,1522.0
New Mexico,Female,Black or African American,2010.0,22605.0
Arkansas,Male,Native Hawaiian or Other Pacific Islander,2010.0,3573.0
New Mexico,Female,Asian,2010.0,17125.0
New Mexico,Female,American Indian or Alaska Native,2010.0,107662.0
New Jersey,Male,More than one race,2010.0,78773.0
New Jersey,Male,White,2010.0,3205619.0
Arkansas,Male,Black or African American,2010.0,216407.0
Arkansas,Male,White,2010.0,1159262.0
Washington,Male,More than one race,2010.0,138682.0
New Jersey,Male,Black or African American,2010.0,604175.0
New Jersey,Male,Asian,2010.0,365156.0
New Jersey,Male,American Indian or Alaska Native,2010.0,26183.0
Arkansas,Male,More than one race,2010.0,24357.0
New Jersey,Female,More than one race,2010.0,82204.0
New Jersey,Female,White,2010.0,3341226.0
New Jersey,Female,Native Hawaiian or Other Pacific Islander,2010.0,3870.0
New Jersey,Female,Black or African American,2010.0,679523.0
New Jersey,Male,Native Hawaiian or Other Pacific Islander,2010.0,3893.0
New Mexico,Male,American Indian or Alaska Native,2010.0,101928.0
Washington,Male,White,2010.0,2769337.0
New Mexico,Male,Asian,2010.0,14339.0
New York,Male,More than one race,2010.0,197755.0
Arkansas,Female,White,2010.0,1187080.0
New York,Male,White,2010.0,6803696.0
New York,Male,Native Hawaiian or Other Pacific Islander,2010.0,11759.0
New York,Male,Black or African American,2010.0,1566454.0
New York,Male,Asian,2010.0,717087.0
New York,Male,American Indian or Alaska Native,2010.0,92459.0
Arkansas,Female,More than one race,2010.0,25221.0
New York,Female,More than one race,2010.0,215288.0
Washington,Male,Native Hawaiian or Other Pacific Islander,2010.0,22091.0
